"lb";"up";"alpha";"K";"name";"t"
"63";-2.24923334778331;2.24923334778331;0.1;9;"PK";0.666666666666667
"72";-2.24923334778331;2.24923334778331;0.1;9;"PK";0.777777777777778
"81";-2.24923334778331;2.24923334778331;0.1;9;"PK";0.888888888888889
"9";-2.24923334778331;2.24923334778331;0.1;9;"PK";1
"110";-2.26995542477493;2.26995542477493;0.1;10;"PK";0.1
"28";-2.26995542477493;2.26995542477493;0.1;10;"PK";0.2
"37";-2.26995542477493;2.26995542477493;0.1;10;"PK";0.3
"46";-2.26995542477493;2.26995542477493;0.1;10;"PK";0.4
"55";-2.26995542477493;2.26995542477493;0.1;10;"PK";0.5
"64";-2.26995542477493;2.26995542477493;0.1;10;"PK";0.6
"73";-2.26995542477493;2.26995542477493;0.1;10;"PK";0.7
"82";-2.26995542477493;2.26995542477493;0.1;10;"PK";0.8
"91";-2.26995542477493;2.26995542477493;0.1;10;"PK";0.9
"10";-2.26995542477493;2.26995542477493;0.1;10;"PK";1
"111";-2.28813053437767;2.28813053437767;0.1;11;"PK";0.0909090909090909
"29";-2.28813053437767;2.28813053437767;0.1;11;"PK";0.181818181818182
"38";-2.28813053437767;2.28813053437767;0.1;11;"PK";0.272727272727273
"47";-2.28813053437767;2.28813053437767;0.1;11;"PK";0.363636363636364
"56";-2.28813053437767;2.28813053437767;0.1;11;"PK";0.454545454545455
"65";-2.28813053437767;2.28813053437767;0.1;11;"PK";0.545454545454545
"74";-2.28813053437767;2.28813053437767;0.1;11;"PK";0.636363636363636
"83";-2.28813053437767;2.28813053437767;0.1;11;"PK";0.727272727272727
"92";-2.28813053437767;2.28813053437767;0.1;11;"PK";0.818181818181818
"101";-2.28813053437767;2.28813053437767;0.1;11;"PK";0.909090909090909
"112";-2.28813053437767;2.28813053437767;0.1;11;"PK";1
"113";-2.30437538633735;2.30437538633735;0.1;12;"PK";0.0833333333333333
"210";-2.30437538633735;2.30437538633735;0.1;12;"PK";0.166666666666667
"39";-2.30437538633735;2.30437538633735;0.1;12;"PK";0.25
"48";-2.30437538633735;2.30437538633735;0.1;12;"PK";0.333333333333333
"57";-2.30437538633735;2.30437538633735;0.1;12;"PK";0.416666666666667
"66";-2.30437538633735;2.30437538633735;0.1;12;"PK";0.5
"75";-2.30437538633735;2.30437538633735;0.1;12;"PK";0.583333333333333
"84";-2.30437538633735;2.30437538633735;0.1;12;"PK";0.666666666666667
"93";-2.30437538633735;2.30437538633735;0.1;12;"PK";0.75
"102";-2.30437538633735;2.30437538633735;0.1;12;"PK";0.833333333333333
"114";-2.30437538633735;2.30437538633735;0.1;12;"PK";0.916666666666667
"121";-2.30437538633735;2.30437538633735;0.1;12;"PK";1
"115";-2.31896045182853;2.31896045182853;0.1;13;"PK";0.0769230769230769
"211";-2.31896045182853;2.31896045182853;0.1;13;"PK";0.153846153846154
"310";-2.31896045182853;2.31896045182853;0.1;13;"PK";0.230769230769231
"49";-2.31896045182853;2.31896045182853;0.1;13;"PK";0.307692307692308
"58";-2.31896045182853;2.31896045182853;0.1;13;"PK";0.384615384615385
"67";-2.31896045182853;2.31896045182853;0.1;13;"PK";0.461538461538462
"76";-2.31896045182853;2.31896045182853;0.1;13;"PK";0.538461538461539
"85";-2.31896045182853;2.31896045182853;0.1;13;"PK";0.615384615384615
"94";-2.31896045182853;2.31896045182853;0.1;13;"PK";0.692307692307692
"103";-2.31896045182853;2.31896045182853;0.1;13;"PK";0.769230769230769
"116";-2.31896045182853;2.31896045182853;0.1;13;"PK";0.846153846153846
"122";-2.31896045182853;2.31896045182853;0.1;13;"PK";0.923076923076923
"131";-2.31896045182853;2.31896045182853;0.1;13;"PK";1
"117";-2.33217959145063;2.33217959145063;0.1;14;"PK";0.0714285714285714
"212";-2.33217959145063;2.33217959145063;0.1;14;"PK";0.142857142857143
"311";-2.33217959145063;2.33217959145063;0.1;14;"PK";0.214285714285714
"410";-2.33217959145063;2.33217959145063;0.1;14;"PK";0.285714285714286
"59";-2.33217959145063;2.33217959145063;0.1;14;"PK";0.357142857142857
"68";-2.33217959145063;2.33217959145063;0.1;14;"PK";0.428571428571429
"77";-2.33217959145063;2.33217959145063;0.1;14;"PK";0.5
"86";-2.33217959145063;2.33217959145063;0.1;14;"PK";0.571428571428571
"95";-2.33217959145063;2.33217959145063;0.1;14;"PK";0.642857142857143
"104";-2.33217959145063;2.33217959145063;0.1;14;"PK";0.714285714285714
"118";-2.33217959145063;2.33217959145063;0.1;14;"PK";0.785714285714286
"123";-2.33217959145063;2.33217959145063;0.1;14;"PK";0.857142857142857
"132";-2.33217959145063;2.33217959145063;0.1;14;"PK";0.928571428571428
"141";-2.33217959145063;2.33217959145063;0.1;14;"PK";1
"119";-2.34424928935874;2.34424928935874;0.1;15;"PK";0.0666666666666667
"213";-2.34424928935874;2.34424928935874;0.1;15;"PK";0.133333333333333
"312";-2.34424928935874;2.34424928935874;0.1;15;"PK";0.2
"411";-2.34424928935874;2.34424928935874;0.1;15;"PK";0.266666666666667
"510";-2.34424928935874;2.34424928935874;0.1;15;"PK";0.333333333333333
"69";-2.34424928935874;2.34424928935874;0.1;15;"PK";0.4
"78";-2.34424928935874;2.34424928935874;0.1;15;"PK";0.466666666666667
"87";-2.34424928935874;2.34424928935874;0.1;15;"PK";0.533333333333333
"96";-2.34424928935874;2.34424928935874;0.1;15;"PK";0.6
"105";-2.34424928935874;2.34424928935874;0.1;15;"PK";0.666666666666667
"1110";-2.34424928935874;2.34424928935874;0.1;15;"PK";0.733333333333333
"124";-2.34424928935874;2.34424928935874;0.1;15;"PK";0.8
"133";-2.34424928935874;2.34424928935874;0.1;15;"PK";0.866666666666667
"142";-2.34424928935874;2.34424928935874;0.1;15;"PK";0.933333333333333
"151";-2.34424928935874;2.34424928935874;0.1;15;"PK";1
"120";-2.35533821541226;2.35533821541226;0.1;16;"PK";0.0625
"214";-2.35533821541226;2.35533821541226;0.1;16;"PK";0.125
"313";-2.35533821541226;2.35533821541226;0.1;16;"PK";0.1875
"412";-2.35533821541226;2.35533821541226;0.1;16;"PK";0.25
"511";-2.35533821541226;2.35533821541226;0.1;16;"PK";0.3125
"610";-2.35533821541226;2.35533821541226;0.1;16;"PK";0.375
"79";-2.35533821541226;2.35533821541226;0.1;16;"PK";0.4375
"88";-2.35533821541226;2.35533821541226;0.1;16;"PK";0.5
"97";-2.35533821541226;2.35533821541226;0.1;16;"PK";0.5625
"106";-2.35533821541226;2.35533821541226;0.1;16;"PK";0.625
"1111";-2.35533821541226;2.35533821541226;0.1;16;"PK";0.6875
"125";-2.35533821541226;2.35533821541226;0.1;16;"PK";0.75
"134";-2.35533821541226;2.35533821541226;0.1;16;"PK";0.8125
"143";-2.35533821541226;2.35533821541226;0.1;16;"PK";0.875
"152";-2.35533821541226;2.35533821541226;0.1;16;"PK";0.9375
"161";-2.35533821541226;2.35533821541226;0.1;16;"PK";1
"126";-2.36558127205907;2.36558127205907;0.1;17;"PK";0.0588235294117647
"215";-2.36558127205907;2.36558127205907;0.1;17;"PK";0.117647058823529
"314";-2.36558127205907;2.36558127205907;0.1;17;"PK";0.176470588235294
"413";-2.36558127205907;2.36558127205907;0.1;17;"PK";0.235294117647059
"512";-2.36558127205907;2.36558127205907;0.1;17;"PK";0.294117647058824
"611";-2.36558127205907;2.36558127205907;0.1;17;"PK";0.352941176470588
"710";-2.36558127205907;2.36558127205907;0.1;17;"PK";0.411764705882353
"89";-2.36558127205907;2.36558127205907;0.1;17;"PK";0.470588235294118
"98";-2.36558127205907;2.36558127205907;0.1;17;"PK";0.529411764705882
"107";-2.36558127205907;2.36558127205907;0.1;17;"PK";0.588235294117647
"1112";-2.36558127205907;2.36558127205907;0.1;17;"PK";0.647058823529412
"127";-2.36558127205907;2.36558127205907;0.1;17;"PK";0.705882352941176
"135";-2.36558127205907;2.36558127205907;0.1;17;"PK";0.764705882352941
"144";-2.36558127205907;2.36558127205907;0.1;17;"PK";0.823529411764706
"153";-2.36558127205907;2.36558127205907;0.1;17;"PK";0.882352941176471
"162";-2.36558127205907;2.36558127205907;0.1;17;"PK";0.941176470588235
"171";-2.36558127205907;2.36558127205907;0.1;17;"PK";1
"128";-2.3750884541235;2.3750884541235;0.1;18;"PK";0.0555555555555556
"216";-2.3750884541235;2.3750884541235;0.1;18;"PK";0.111111111111111
"315";-2.3750884541235;2.3750884541235;0.1;18;"PK";0.166666666666667
"414";-2.3750884541235;2.3750884541235;0.1;18;"PK";0.222222222222222
"513";-2.3750884541235;2.3750884541235;0.1;18;"PK";0.277777777777778
"612";-2.3750884541235;2.3750884541235;0.1;18;"PK";0.333333333333333
"711";-2.3750884541235;2.3750884541235;0.1;18;"PK";0.388888888888889
"810";-2.3750884541235;2.3750884541235;0.1;18;"PK";0.444444444444444
"99";-2.3750884541235;2.3750884541235;0.1;18;"PK";0.5
"108";-2.3750884541235;2.3750884541235;0.1;18;"PK";0.555555555555556
"1113";-2.3750884541235;2.3750884541235;0.1;18;"PK";0.611111111111111
"129";-2.3750884541235;2.3750884541235;0.1;18;"PK";0.666666666666667
"136";-2.3750884541235;2.3750884541235;0.1;18;"PK";0.722222222222222
"145";-2.3750884541235;2.3750884541235;0.1;18;"PK";0.777777777777778
"154";-2.3750884541235;2.3750884541235;0.1;18;"PK";0.833333333333333
"163";-2.3750884541235;2.3750884541235;0.1;18;"PK";0.888888888888889
"172";-2.3750884541235;2.3750884541235;0.1;18;"PK";0.944444444444444
"181";-2.3750884541235;2.3750884541235;0.1;18;"PK";1
"130";-2.38395031952692;2.38395031952692;0.1;19;"PK";0.0526315789473684
"217";-2.38395031952692;2.38395031952692;0.1;19;"PK";0.105263157894737
"316";-2.38395031952692;2.38395031952692;0.1;19;"PK";0.157894736842105
"415";-2.38395031952692;2.38395031952692;0.1;19;"PK";0.210526315789474
"514";-2.38395031952692;2.38395031952692;0.1;19;"PK";0.263157894736842
"613";-2.38395031952692;2.38395031952692;0.1;19;"PK";0.315789473684211
"712";-2.38395031952692;2.38395031952692;0.1;19;"PK";0.368421052631579
"811";-2.38395031952692;2.38395031952692;0.1;19;"PK";0.421052631578947
"910";-2.38395031952692;2.38395031952692;0.1;19;"PK";0.473684210526316
"109";-2.38395031952692;2.38395031952692;0.1;19;"PK";0.526315789473684
"1114";-2.38395031952692;2.38395031952692;0.1;19;"PK";0.578947368421053
"1210";-2.38395031952692;2.38395031952692;0.1;19;"PK";0.631578947368421
"137";-2.38395031952692;2.38395031952692;0.1;19;"PK";0.684210526315789
"146";-2.38395031952692;2.38395031952692;0.1;19;"PK";0.736842105263158
"155";-2.38395031952692;2.38395031952692;0.1;19;"PK";0.789473684210526
